division,availability,submitter,system,host_processor_model_name,host_processors_count,accelerator_model_name,accelerators_count,framework,notes,bert,dlrm,maskrcnn,minigo,resnet,ssd,rnnt,unet3d,details_url,code_url
closed,cloud,Azure-HazyResearch,ND96amsr_A100_v4_n1,AMD EPYC 7V12 64-Core Processor,2,NVIDIA A100-SXM4-80GB,8,PyTorch NVIDIA Release 22.09,400W,16.828252083333336,,,,,,,,https://github.com/mlcommons/training_results_v2.1/blob/main/Azure-HazyResearch/systems/ND96amsr_A100_v4_n1_pytorch.json,https://github.com/mlcommons/training_results_v2.1/blob/master/Azure-HazyResearch/benchmarks
closed,cloud,Azure-HazyResearch,ND96amsr_A100_v4_n16,AMD EPYC 7V12 64-Core Processor,32,NVIDIA A100-SXM4-80GB,128,PyTorch NVIDIA Release 22.09,400W,1.9168347169569524,,,,,,,,https://github.com/mlcommons/training_results_v2.1/blob/main/Azure-HazyResearch/systems/ND96amsr_A100_v4_n16_pytorch.json,https://github.com/mlcommons/training_results_v2.1/blob/master/Azure-HazyResearch/benchmarks
closed,cloud,Azure-HazyResearch,ND96amsr_A100_v4_n8,AMD EPYC 7V12 64-Core Processor,16,NVIDIA A100-SXM4-80GB,64,PyTorch NVIDIA Release 22.09,400W,2.6981013618419425,,,,,,,,https://github.com/mlcommons/training_results_v2.1/blob/main/Azure-HazyResearch/systems/ND96amsr_A100_v4_n8_pytorch.json,https://github.com/mlcommons/training_results_v2.1/blob/master/Azure-HazyResearch/benchmarks
